"am" "dmin" "dmax" "rv" "md" "ou" "moi" "jti" "eo" "ecc" "sma" "inc" "anl" "op" "pd" "pa" "ad" "pt" "ma" "mm" "haz"
"35" 23.6 0.0506471459 0.1132504611 3.8380167643 0.0864847003 0 0.0231683 5.694 2458000.5 0.175528100297145 1.08505391952708 1.49970798724319 143.972093446893 412.833951981386 0.894596466312521 2.12464714448126 1.27551137274164 2458019.67604101 343.278083764818 0.872021301233073 "False"
"36" 19.8 0.2914439045 0.6516883822 14.6506071817 0.49345027 0 0.00864628 5.679 2458000.5 0.659670171031265 1.03906995844925 1.66028061253024 211.16614585455 386.870495679654 0.353626501245583 111.270487771045 1.72451341565291 2458022.99131109 339.070846494879 0.930543952098369 "True"
"37" 21.7 0.1214940408 0.2716689341 7.5148753568 0.4991803786 0 0.072723 4.988 2458000.5 0.180694935438484 1.29871285388424 2.88384826750071 42.7745945849694 540.5901587784 1.06404201859849 283.678905883017 1.53338368916998 2458116.95525142 282.447921347354 0.665938870980394 "False"
"38" 20.1 0.2538370294 0.5675968529 14.3828211868 0.4209661835 0 0.286119 5.55 2458000.5 0.608529112903492 1.0677295653982 19.7660942145188 228.348309578269 402.986344143219 0.417985040145603 179.905593092836 1.7174740906508 2458175.96195684 203.254479012477 0.893330519090886 "False"
"39" 19.9 0.2783267681 0.6223575734 16.5382492667 0.3724623296 0 0.00632801 5.118 2458000.5 0.200158668314073 1.22505425608276 23.766740963592 157.14135061754 495.257900293738 0.979849027572747 9.6180260171084 1.47025948459277 2458225.3960864 196.524382438009 0.726894007720995 "True"
"40" 27.4 0.0088014652 0.0196806745 7.3391408326 0.071064889 7 0.00184403 5.435 2458000.5 0.221635471193458 1.14962248448415 7.43078591453331 330.783199819839 450.22675606741 0.894825363440914 290.483642842627 1.40441960552739 2457820.16343595 144.196590234732 0.799597081134154 "False"
"41" 23.9 0.04411182 0.0986370281 10.5995937061 0.3935150166 5 0.110326 4.698 2458000.5 0.225484982477186 1.40832575571562 8.11396231201178 158.226055787611 610.454233045997 1.09076944736591 28.4122281973256 1.72588206406532 2457721.45141572 164.561870327472 0.589724799193709 "False"
"42" 26.9 0.0110803882 0.0247765013 22.8246286413 0.4729642584 7 0.00602602 6.938 2458000.5 0.299733270380351 0.841631580524263 10.2769400280011 171.177258057229 282.021008690968 0.589366594438342 218.220492107124 1.09389656661018 2457932.07860781 87.3399513801906 1.27650064678153 "False"
"43" 21.424 0.1379605689 0.3084892103 20.3742223265 0.2243809656 6 0.0890355 4.955 2458000.5 0.147884621008685 1.23591213294317 39.4070151014063 356.543905482479 501.856808527627 1.05313973556283 218.601812038164 1.4186845303235 2457874.56384021 90.3385522604331 0.717336088467519 "False"
"44" 17.3 0.9216265485 2.0608196123 22.9603499373 0.086732912 0 0.0591071 3.12 2458000.5 0.776643888773454 2.26319603381811 9.06450717374057 352.691410764323 1243.60278773399 0.505498665056956 299.739334196395 4.02089340257927 2458582.73296167 191.454329091335 0.289481499680432 "False"
